"","RC1","RC5","RC2","RC3","RC4"
"O_10_1",-0.252867499799974,0.18153656070376,0.100485293180262,-0.163171643904227,-0.684369989795053
"O_15_1",-0.0197054281714995,0.589160289962553,0.306111684123917,-0.255408919614307,-0.0226077662195318
"O_20_1",0.209187895844056,0.671658685652056,-0.226231731657595,-0.0222880636918054,0.128676590643565
"O_35_1",0.297746154078723,0.707488126729245,-0.216045086931164,0.0834423837282164,-0.00472505935010521
"O_40_1",0.127239079993122,0.570163572419264,0.321422780152592,0.125303432538083,-0.0494511728234299
"O_60_1",0.332655388351276,0.598947697891183,0.0579329787402241,0.272286379602788,-0.177060946221278
"O_5_.1",0.0665426082936946,0.0114354393131123,0.302295138957407,0.0968377777103259,0.0710440061565462
"O_25_.1",-0.323774922140849,-0.165109251467096,0.373927263102848,-0.198875164911647,0.215583805653368
"O_30_.1",0.0400192627606857,-0.216829918342851,0.292713085781398,-0.0139537086181873,0.0167878966150424
"O_45_.1",-0.324248888595794,0.0444275884848647,-0.234708846289617,0.162936185013149,-0.004463296273036
"O_50_.1",-0.144393544471829,-0.127556296303389,0.402008490588524,0.131944407419619,0.0358204786949626
"O_55_.1",0.0827934947385549,-0.186282898557766,0.309596297523654,0.0807257389724749,0.0555976029799938
"E_1_1",-0.0708247522347614,0.373012179002133,-0.0751610717411298,0.0252542196725314,-0.449648909935314
"E_6_1",-0.146584950514454,0.264284419229158,0.0405452787280925,0.173559054243234,-0.385778061985838
"E_21_1",-0.0185119946781006,0.318824885395471,0.329430113500898,-0.14176836886644,0.0741843586307628
"E_41_1",0.0671276204542291,0.320617473699459,-0.111990505280049,0.16963538507584,-0.342698861967951
"E_46_1",-0.203190514158038,0.322173181587189,-0.355733417301235,0.223258633338249,-0.164898775468328
"E_56_1",0.192742763023684,0.563805359363187,-0.225474877593272,-0.265717234124385,-0.0844223936562824
"E_11_.1",-0.0675606840838562,-0.0426182258061081,-0.063345839880459,-0.4063497501207,0.0793243861057886
"E_16_.1",0.144538551305013,0.077334053442258,0.177421821138472,-0.220677057697591,0.403819102971144
"E_26_.1",-0.111653202204277,-0.119590844410743,0.0143726155943483,0.109011142446853,0.489795062979309
"E_31_.1",-0.189151973915402,0.0154555911326376,0.233750079972812,0.28251593765085,0.299600482602813
