"","RC1","RC2","RC5","RC3","RC4"
"O_10_1",-0.210263902640356,-0.622043608461505,-0.392330987016232,-0.197636344874067,-0.234020447974135
"O_15_1",0.471814064286488,0.0634341561965637,0.0949507752910698,-0.258357964839081,0.103570803273714
"O_20_1",0.370821067351266,-0.0246007388551238,0.149285356774347,0.036642773952395,-0.0794904495848162
"O_35_1",0.524085723857178,0.0489041853631247,0.194516061569283,-0.0105518467057502,-0.213160556932302
"O_40_1",0.607192195867331,-0.0357734086343661,0.190460340710318,0.0723352784153031,-0.119928014221206
"O_60_1",0.445388441266388,0.021131107157139,0.0786153613671454,-0.072211685533877,0.204443814642112
"O_5_.1",-0.0239067094359111,0.0783156276565078,0.372090507921449,-0.0664118306538323,-0.135229486732036
"O_25_.1",-0.095889905865902,0.232796576827095,-0.0496470818518898,-0.0427816449582122,0.477889940355119
"O_30_.1",-0.106922763850109,0.242571959155924,0.05068386021647,-0.0659717083816301,0.477749203068545
"O_45_.1",0.111955455191653,0.592789655071043,0.0193246775651153,0.156214741571018,-0.0724498949872219
"O_50_.1",-0.0567576152096322,0.0870540065993472,0.0388035248152583,0.523751916146953,0.0573995973013729
"O_55_.1",0.0310136268056724,-0.0291608682394968,0.436412113904365,-0.0950721276661944,0.222775674290946
"E_1_1",0.354816696680046,-0.252131389657987,-0.150955153915007,0.344736138014073,0.102242003738276
"E_6_1",0.311346794634082,-0.0750592177584694,-0.120198943253697,0.244614329512159,0.223447564163134
"E_21_1",0.512745929009349,-0.137448648489627,-0.174507453360086,0.0821252547836627,0.204280383888684
"E_41_1",0.447963771392176,-0.0125401437180351,0.111413636657211,-0.0490531406187434,-0.0955365670490002
"E_46_1",0.158654080815324,0.2737640821172,0.253017797076248,0.0878551842954601,-0.00466575711825915
"E_11_.1",-0.265457453083592,0.190697873256006,-0.119781354007477,-0.212550872749706,-0.312830908210305
"E_16_.1",-0.0866618769817048,0.315989496234457,0.111710251975585,-0.12706888122929,0.495848123080297
"E_26_.1",0.0817851591137263,0.513294659436763,0.106918267268671,0.0591072270568079,0.0560986816851646
"E_31_.1",-0.0930959362189143,-0.0593407565506641,0.107971093795052,0.187168417981118,0.377235480446604
"E_36_.1",0.0429471448268985,0.468226987924224,-0.120906942925166,0.341222748499294,-0.0402610203857476
"E_51_.1",0.159227593295283,0.225422638822506,0.0695570160821035,-0.107023307779272,0.162938218870865
"C_13_1",0.677104492570905,-0.152539126967394,-0.0984722797408459,0.0957179903421897,-0.128520083917113
"C_18_1",-0.168878677183425,0.0272434751430592,0.388884550269513,0.26691440874407,-0.185140270621223
"C_33_1",0.396850223283633,0.0334494677884666,-0.0247802299261743,0.0998232928064287,-0.0111783598368786
"C_38_1",0.651172645565569,0.141454017972434,0.0444416324274259,-0.197326863053495,-0.110920639860653
"C_43_1",0.567084921891337,0.0414390572171989,-0.142314364433898,0.0464964233764031,-0.0750183490527123
"C_53_1",0.468998580554499,0.298214224465901,-0.0992171978680604,-0.0866725929771177,-0.073940946434301
"C_3_.1",-0.126874561627523,-0.172397804521348,0.49118594230781,-0.0897989394149518,-0.104773003634095
"C_8_.1",0.0257481586177478,0.0447055461049838,0.25018604757953,0.566225519226922,0.147618575918698
"C_23_.1",-0.230415989971942,0.0476193031923337,0.43206076080056,0.175959650299831,-0.133769084051749
"C_28_.1",-0.426451825656748,0.244130694882001,0.271072201499931,0.137757843691949,-0.0448969014094887
"C_48_.1",-0.0493473487839058,0.469533997225817,0.344288436602998,-0.0175731203717624,0.0310277011742545
"C_58_.1",0.0379695429230298,0.0971321344319851,0.426496377573505,0.118724804139484,0.273609214716419
"A_2_1",0.581654767445181,0.0111561558791049,-0.225126983092173,-0.201987226791843,-0.00824071544586195
"A_27_1",0.410645935119414,0.0831749130937804,-0.222647806626639,0.0292755242084199,-0.29081638579924
"A_32_1",0.357137568592051,-0.0645858873351243,-0.238029579473348,-0.262906590791044,0.199104543777005
"A_52_1",0.569425433111737,0.202843012093222,-0.103416735971345,-0.154819504033362,0.100192643569342
"A_57_1",0.565928256785726,-0.0356997951684954,-0.106802534031045,-0.0683136668806132,0.143587732598442
"A_12_.1",-0.00921434698477068,0.0458596978552381,0.0336492868797474,0.665130892237038,-0.0155475302171039
"A_17_.1",0.00200569093108775,0.361386040586182,-0.114392457175077,0.053526140908143,0.0219609400454594
"A_22_.1",-0.0227343718711161,0.104711716370634,-0.0890595674309879,0.0211462138869376,0.266843486184347
"A_37_.1",0.086961485828081,-0.303262252837569,0.512365877891369,0.158162625167983,0.117819929099779
"A_42_.1",0.0865195940084548,0.320661144129648,0.120252088592604,0.204115000661939,-0.357300346893649
"A_47_.1",-0.0589963957342928,-0.145904220349045,0.095229628927838,-0.201932728519732,0.126669573080596
"N_14_1",-0.21152367162755,0.19868017354759,-0.0339892112106004,-0.0472419469006634,-0.413743884144747
"N_19_1",-0.0413230186127354,0.362266918095949,-0.0592327485803217,0.164297743652567,0.310471447489662
"N_34_1",-0.0406439398711423,0.473893417482221,-0.0441338701393332,-0.118483183489072,0.0900344979154687
"N_39_1",-0.0545299886313008,0.267831034647538,0.109399348392172,0.400350340344454,0.070959251009753
"N_54_1",0.148741769516599,-0.292787095941738,0.00697873543184871,0.146675645842993,-0.07627186954274
"N_59_1",-0.0185652365155251,0.164222881072766,0.530242074525197,0.0184190946223507,0.147753129903788
"N_4_.1",0.490469489773144,-0.0189138369457297,0.0337004824881385,-0.0214283823295514,-0.214200016621483
"N_9_.1",0.460191413863359,0.0791708885976541,-0.0785080963123914,-0.3138482149627,-0.351791542482534
