Unnamed: 0,RC1,RC2,RC3,RC5,RC4
E2,0.3176761950021,0.288857633221362,0.380270424650684,0.658162392305187,0.0826805952939153
E3,-0.054999348167476,0.336365648316691,0.53924822580011,0.431101433140549,0.0584614869940715
E5,0.189721500580694,0.391788973019474,0.374768398699627,0.378819345186777,0.519244980264591
E6,0.395346528679143,0.406378003719862,0.411162583804903,0.398908727812744,0.324928082165678
E9,-0.084943057125812,0.304800802522197,0.666431280912859,0.158754874327099,0.210918223277216
E10,-0.195209194498949,0.235270332947955,0.753754982786822,0.117789170039298,-0.034747253780423
E1,0.685138671262039,0.0934306986803669,0.180305790220954,0.50846399305162,0.17289396574373
E4,0.552235029607283,0.100484737535209,0.242838217154073,0.390800650637432,-0.133609547021346
E7,0.598983185398407,0.336687287344429,-0.0459682297696475,0.148156216269966,0.232988027389747
E8,0.702059878855095,0.198106240180872,0.0176272149626595,0.14882572960398,0.280588213762746
E11,0.863735205508856,-0.105155562135195,0.0763157833834363,0.028614593015694,0.156046770370335
E12,0.574565028743241,-0.109116618010748,-0.23528080048708,-0.118256574223797,0.060400640015916
A13,-0.164152925542975,0.239483655406555,0.315459854563415,-0.169415919225523,-0.673187172104378
A15,-0.167354985958568,0.458790963900246,0.584232218826548,-0.401741083021445,-0.333758374698205
A17,-0.28567400861139,0.400281371915246,0.488117167409957,-0.515509273915349,-0.328746523529056
A18,-0.253171310103666,0.620097272714026,0.425387222903965,-0.379464158299302,-0.341651877752787
A21,-0.146165862969456,0.675909431376137,0.345176851416743,0.0379597520312729,-0.49063632971613
A22,-0.0126794092709879,0.680050310298624,0.182611350686902,0.13028337489515,-0.581138183646091
A14,0.539322548790412,-0.14227330655753,-0.142242396138798,0.0831819327014989,0.649858951253088
A16,0.486516005735395,-0.00776407748382,-0.106731994974841,0.309412276119705,0.633013117248737
A19,0.604281101333372,-0.0256707549332798,0.15024141796391,0.572217886847812,0.262675015113241
A20,0.355352239095887,-0.04354311113188,0.293474143822561,0.748410983216842,0.165387708593208
A23,0.638338806142615,0.0057439684768982,-0.0489419783464615,0.475238386255809,0.334380827511302
A24,0.668318835422537,-0.0064398965797641,0.0528250643809003,0.369410512735459,0.442300389283426
C26,0.14900848430292,0.660545197485901,0.143493053000514,-0.209110933291952,0.309084808752862
C27,0.0229267847099396,0.767721118450263,-0.0701472142520961,0.113816181888487,0.0859153083658061
C29,0.045973621206773,0.743247886894189,0.352565585465603,-0.166931103474107,0.210034122883651
C30,0.016252427155305,0.393467609223223,0.536419154402228,-0.408330068814518,0.183975410937948
C35,-0.202211138842873,0.769602921707866,0.242694974010261,-0.352418075095012,0.0285817870689471
C36,-0.15051856961479,0.751977509806719,0.178850140230749,-0.402628952247528,0.0252598296020021
C25,0.773570554082438,0.0905800064799849,0.122486202430069,0.258752348039882,0.0861017013555558
C28,0.761528442805759,-0.0618284529874005,0.0618772843347772,0.394236413347278,0.259733024520071
C31,0.61835818110517,-0.170881246983943,-0.283822865549733,0.0913799230635445,0.103183953024579
C32,0.832123380156081,-0.122147407937606,-0.222732995776481,0.129294496436319,-0.0629490592730813
C33,0.642801807899554,-0.0323236950843503,0.232482449666122,0.528320976685644,0.224912185934935
C34,0.653564356299463,-0.0364682172930216,0.256178187120858,0.512065459425526,0.250240411550583
N37,0.158160010806407,0.686586350305533,0.0878547070665158,0.22852866602795,-0.364207828409614
N39,0.245670083907128,0.780137960577644,0.0135697272603745,0.209376332747723,0.0379668757336677
N43,-0.131004907058472,0.792589145389786,0.33067145319913,0.0196069881523767,-0.0510267851815601
N44,-0.123042305688494,0.463365566698316,0.710003658000524,-0.0848251597000191,-0.0513443063158328
N45,-0.122858582716731,0.822029206043947,0.0119521304451415,0.101409403581211,-0.348986247325659
N47,0.304309233486775,0.735835328393993,-0.0880915887685572,0.255890012074196,0.0476284982730283
N38,0.840447760353355,0.124895976117224,-0.137717514148694,0.219442142112658,-0.0555961803895896
N40,0.716831009683602,0.0553423301060116,0.146104092401007,0.536931970746629,0.102943092059417
N41,0.812329652776376,-0.155199330504611,-0.175824646916844,0.0205267304037248,-0.0896075160387639
N42,0.790467336364637,-0.222486562372035,-0.130666266340832,0.0438525103161625,-0.0023129957767985
N46,0.62940958351752,-0.0231734218611821,0.0198266178151443,0.640050989148586,-0.0707879042633332
N48,0.594424262131664,-0.0671873709857927,0.0763185400323043,0.674989863173615,-0.0804438673929261
O50,0.351104438960162,0.0302335857140115,0.71780572051059,0.0770983944464642,-0.0902561439369848
O52,-0.0101024458813959,-0.0425635405666184,0.833499117596683,-0.0636251365459057,-0.0973717087031958
O53,-0.0359018921755835,-0.0258289135122832,0.585405981330831,0.157180321922316,-0.211131533931128
O55,-0.0888997114518943,-0.0012673705766005,0.668449964273467,0.0815575387770617,-0.298206212060752
O58,0.118189225455091,0.290964726318731,0.808404465337988,0.166802868438325,0.0958312928064884
O59,0.109362107125534,-0.0079549820873411,0.792015861310117,0.126755088613109,-0.0357002315968879
O49,0.794700479935329,0.17145996549401,0.0898119353993764,0.0727461406576053,0.300757865488482
O51,0.75329783205775,0.219473730382777,0.0412647588775888,0.266492556108727,0.0902545714617112
O54,0.580516167614072,0.0068322087192304,0.323634741722926,-0.0599521587768862,0.335664949567397
O56,0.375487741121353,0.202982422525024,-0.29038840205078,0.0785437284693012,0.566730064201695
O57,0.722789700702993,0.0213671974647965,0.0147002239232993,-0.066463570498677,0.209699186507834
O60,0.834282341365222,0.0875860272321138,0.0076695296469218,0.13071373123841,-0.0382144713520213
