"","RC2","RC4","RC1","RC3","RC5"
"O_10_1",-0.193624762526421,-0.237036032635144,-0.286354009716749,0.000199099252606985,-0.0104667598397967
"O_15_1",-0.0947491420095695,0.0356918349829194,-0.00463597284017653,0.287042462570438,-0.0696055974188975
"O_20_1",-0.284352882098534,0.305536959083499,-0.196021079431306,-0.0700111840865559,-0.0696863584351357
"O_35_1",-0.131900430349974,0.182588598281852,-0.0793458590226887,0.197233624379298,0.417423395709999
"O_40_1",0.414936029544917,0.0726879077658899,-0.238438522457643,0.221601246886571,-0.260263434867977
"O_60_1",-0.132566669743635,-0.0759997999830405,0.473022837331477,-0.0597687914137042,0.14493604096379
"O_5_.1",-0.418835179043215,0.156299637567025,-0.0676865759732487,0.00557138473722085,-0.0741390655092561
"O_25_.1",-0.00487612591297002,-0.114494100840574,-0.00094091058766965,-0.343307877763263,0.0239223513304297
"O_30_.1",0.017976546819263,0.163882985634264,0.127569199597082,0.387143507743094,-0.277871632892681
"O_45_.1",-0.173399673110182,-0.0867417078850087,-0.00341555107839545,0.0789319865291924,0.00916232994284001
"O_50_.1",-0.162092113359107,-0.102936560042556,-0.124122575164503,0.262566800483026,0.0557301367000937
"O_55_.1",0.0727245686476271,-0.198810457173965,0.0715483760001825,-0.0516572218914906,-0.00594205415972943
"E_1_1",0.30613427065778,-0.0994664588200394,0.258754920290054,0.267352980908687,0.161633397819812
"E_6_1",-0.0795973322700793,0.017346584007836,0.0221290338191544,-0.53094567030614,-0.0488994573942818
"E_21_1",0.0929348341053642,0.0871353325882312,0.192288823827182,-0.0144638222569919,0.0524519262861583
"E_41_1",-0.201943863721937,0.597432232688106,-0.0520294106129912,-0.167203140469582,-0.0498847064157523
"E_46_1",0.0301391665846052,0.0815993814281739,-0.183526147628397,-0.220708004733369,-0.348727895401527
"E_56_1",-0.0471350289306278,0.108501070324991,0.0280135455488211,0.0917008980229111,0.326721261168778
"E_11_.1",0.0530678527043222,0.0676233371824393,-0.000433769268926556,-0.0510532555553737,0.238733781455279
"E_16_.1",0.479437752279082,0.275924785331392,-0.0155488842785005,0.186913243373953,0.180406650629839
"E_26_.1",0.0159867999120806,-0.54751194088319,-0.0211822888064985,0.0625628844118978,0.0425949689640219
"E_31_.1",0.0169982719495355,-0.198719448360536,-0.043290862546544,-0.00305387045870425,0.351694254268696
